Phyto;Abn(x1000cells/mL);Conc (g m-3);Conc(g m-3);;;;
Cyano (hi);6143.925081;5.05;3.78;;;;
Cyano (lo);3719.641694;4.53;3.4;;;;
Diat (hi);4256.563518;3.51;2.63;;;;mena chlorophyll a = 273 microgram/L
Diat (Io);2873.583062;3.5;2.62;;;;
Gr Al (hi);6225.276873;5.61;4.21;;;;
Gr Al (lo);4598.241042;5.11;3.83;;;;
;;mean Chla 273;mean Chla 204.8;;;;
;max phy;14.17;;;;;
;min phy;13.14;;;;;
