Day;TN(g m-3);TDN (g m-3);TNP (g m-3);NH4 (g m-3);NO3 (g m-3);NO2 (g m-3)
0;0.776595745;0.442553191;0.334042554;0.08372093;0.05326087;0.305571391
14;1.106382979;0.524255319;0.58212766;0.324418605;0.052173913;0.147662801
28;1.180851064;0.612765957;0.568085107;0.387209302;0.054347826;0.171208829
42;1.20212766;0.776170213;0.425957447;0.244186047;0.09673913;0.435245036
56;1.457446809;0.919148936;0.538297873;0.3;0.092391304;0.526757632
70;1.936170213;1.300425532;0.635744681;0.226744186;0.140217391;0.933463955
