Day;TP (g m-3);TDP (g m-3);TPP (g m-3);SRP (g m-3);TN(g m-3);TDN (g m-3);TNP (g m-3);NH4 (g m-3);NO3 (g m-3);NO2 (g m-3)
0;0.108051948;0.050232558;0.05781939;0.032783505;0.765957447;0.442553191;0.323404255;0.08372093;0.05326087;0.305571392
14;0.176623377;0.126511628;0.050111749;0.099587629;0.978723404;0.53787234;0.440851064;0.324418605;0.065217391;0.148236344
28;0.208831169;0.094263566;0.114567603;0.086597938;1.382978723;0.503829787;0.879148936;0.387209302;0.059782609;0.056837877
42;0.062337662;0.035348837;0.026988825;0.020412371;0.542553191;0.408510638;0.134042553;0.244186047;0.060869565;0.103455026
56;0.089350649;0.041550388;0.047800262;0.024123711;0.819148936;0.456170213;0.362978723;0.3;0.066304348;0.089865865
70;0.145454545;0.076899225;0.068555321;0.024123711;0.765957447;0.674042553;0.091914894;0.226744186;0.083695652;0.363602715
